title,description,published date,url,source
Biden economic adviser stokes fear on left over Wall Street-friendly past - POLITICO,Biden economic adviser stokes fear on left over Wall Street-friendly past  POLITICO,"Sat, 05 Dec 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjAvMTIvMDUvYnJpYW4tZGVlc2UtYmlkZW4tY29yb25hdmlydXMtZWNvbm9teS00NDMwMTTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,POLITICO
Biden-Harris Economic Priorities and U.S. Public Opinion - Gallup,Biden-Harris Economic Priorities and U.S. Public Opinion  Gallup,"Fri, 04 Dec 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vbmV3cy5nYWxsdXAuY29tL29waW5pb24vcG9sbGluZy1tYXR0ZXJzLzMyNzMwMi9iaWRlbi1oYXJyaXMtZWNvbm9taWMtcHJpb3JpdGllcy1wdWJsaWMtb3Bpbmlvbi5hc3B40gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Gallup
Biden's Plan for the Economy Requires More Than Money - The Intercept,Biden's Plan for the Economy Requires More Than Money  The Intercept,"Tue, 01 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vdGhlaW50ZXJjZXB0LmNvbS8yMDIwLzA5LzAxL2JpZGVuLWVjb25vbWljLXBvbGljeS11cy1lY29ub215L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,The Intercept
"Biden, Harris to Make Remarks on Economic Recovery Monday - Bloomberg","Biden, Harris to Make Remarks on Economic Recovery Monday  Bloomberg","Sun, 15 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTExLTE1L2JpZGVuLWhhcnJpcy10by1tYWtlLXJlbWFya3Mtb24tdS1zLWVjb25vbWljLXJlY292ZXJ5LW1vbmRhedIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Bloomberg
"Latino voters have growing confidence in Biden on key issues, while confidence in Trump remains low - Pew Research Center","Latino voters have growing confidence in Biden on key issues, while confidence in Trump remains low  Pew Research Center","Fri, 16 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMilgFodHRwczovL3d3dy5wZXdyZXNlYXJjaC5vcmcvc2hvcnQtcmVhZHMvMjAyMC8xMC8xNi9sYXRpbm8tdm90ZXJzLWhhdmUtZ3Jvd2luZy1jb25maWRlbmNlLWluLWJpZGVuLW9uLWtleS1pc3N1ZXMtd2hpbGUtY29uZmlkZW5jZS1pbi10cnVtcC1yZW1haW5zLWxvdy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,Pew Research Center
Biden Announces $2 Trillion Climate Plan - The New York Times,Biden Announces $2 Trillion Climate Plan  The New York Times,"Wed, 15 Jul 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDcvMTQvdXMvcG9saXRpY3MvYmlkZW4tY2xpbWF0ZS1wbGFuLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,The New York Times
"Young voters are highly motivated, flocking to Biden, and worried about the economy - Harvard Kennedy School","Young voters are highly motivated, flocking to Biden, and worried about the economy  Harvard Kennedy School","Wed, 23 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3Lmhrcy5oYXJ2YXJkLmVkdS9mYWN1bHR5LXJlc2VhcmNoL3BvbGljeS10b3BpY3MvcG9saXRpY3MveW91bmctdm90ZXJzLWFyZS1oaWdobHktbW90aXZhdGVkLWZsb2NraW5nLWJpZGVuLWFuZNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Harvard Kennedy School
Biden's China Policy? A Balancing Act for a Toxic Relationship (Published 2020) - The New York Times,Biden's China Policy? A Balancing Act for a Toxic Relationship (Published 2020)  The New York Times,"Tue, 17 Nov 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMTEvMTYvYnVzaW5lc3MvZWNvbm9teS9iaWRlbi1jaGluYS10cmFkZS1wb2xpY3kuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,The New York Times
Biden calls for 'urgent' stimulus following 'grim' jobs report - NBC News,Biden calls for 'urgent' stimulus following 'grim' jobs report  NBC News,"Fri, 04 Dec 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL3BvbGl0aWNzL3doaXRlLWhvdXNlL2JpZGVuLWFkZHJlc3MtZmluYWwtam9icy1yZXBvcnQtMjAyMC1uMTI0OTk4MdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,NBC News
Trump claims Biden win would cause depression despite economists' forecast - CBS News,Trump claims Biden win would cause depression despite economists' forecast  CBS News,"Wed, 14 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvdHJ1bXAtZWNvbm9taWMtY2x1Yi1uZXcteW9yay1yZWNvdmVyeS1qb2JzL9IBTGh0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9uZXdzL3RydW1wLWVjb25vbWljLWNsdWItbmV3LXlvcmstcmVjb3Zlcnktam9icy8?oc=5&hl=en-US&gl=US&ceid=US:en,CBS News
